Company Name,Location,"Employees
Affected","Layoff
Date"
THE FRESH MARKET- STORE #167,SACRAMENTO,63,5/6/14
THE FRESH MARKET-STORE #173,ELK GROVE,63,5/6/14
"THE HUNTINGTON HOTEL & NOB HILL
SPA",SAN FRANCISCO,115,1/6/14
THE OUTDOOR CHANNEL,TEMECULA,45,4/11/14
"THE RITZ-CARLTON, SAN FRANCISCO",SAN FRANCISCO,86,6/21/14
"THE RITZ-CARLTON,LAKE TAHOE-
MARRIOTT INTERNATIONAL",TRUCKEE,258,4/21/14
TIME WARNER CABLE,CYPRESS,72,2/3/14
"TOPA MANAGEMENT COMAPANY-
SIERRA VILLA",LANCASTER,2,3/31/14
"TOPA MANAGEMENT COMAPANY-
VILLAGE CENTER",ANAHEIM,3,6/30/14
"TOPA MANAGEMENT COMAPNY-
CORPORATE",LOS ANGELES,5,6/30/14
"TOPA MANAGEMENT COMPANY-
AUBURN VILLA",AUBURN,2,6/30/14
"TOPA MANAGEMENT COMPANY-
CORPORATE",LOS ANGELES,1,3/31/14
"TOPA MANAGEMENT COMPANY-
HAMMER LANE",STOCKTON,4,6/30/14
"TOPA MANAGEMENT COMPANY-
HUNTINGTON VILLA YORBA",HUNTINGTON BEACH,5,6/30/14
"TOPA MANAGEMENT COMPANY-
LAKESHORE VILLA",SAN DIEGO,2,3/31/14
"TOPA MANAGEMENT COMPANY-
RANCHERIA DEL SOL",PALM SPRINGS,2,6/30/14
"TOPA MANAGEMENT COMPANY-
SHERWOOD VILLA",VICTORVILLE,2,3/31/14
"TOPA MANAGEMENT COMPANY-
SULLIVAN MANOR",SANTA ANA,2,6/30/14
"TOPA MANAGEMENT COMPANY-
WILLOW VILLAGE",RIALTO,4,3/31/14
"TRACFONE WIRELESS, INC.",IRVINE,7,1/16/14
"TRANSFIELD SERVICES MNGMNT
(CARSON OPERATIONS)",CARSON,126,2/14/14
TRANSTAR INDUSTRIES INC,"RANCHO
CUCAMONGA",56,6/10/14
"TRIUS THERAPEUTICS, INC.",SAN DIEGO,26,3/31/14
"U.S. AVIATION SERVICES CORP-LA
INTNTL AIRPORT",LOS ANGELES,237,5/1/14
"UNITED AIRLINES, INC.",LOS ANGELES,78,4/1/14
"UNITED AIRLINES, INC.",SAN FRANCISCO,164,4/1/14
"UNITED SPIRAL PIPE, LLC",PITTSBURG,50,2/16/14
UPS-NORTH BAY(RICHMOND) HUB,RICHMOND,1073,3/1/14
USS-POSCO,PITTSBURG,690,1/14/14
UTC AEROSPACE SYSTEMS,CHULA VISTA,69,2/11/14
"VALENCIA K, LLC DBA VALENCIA KIA",VALENCIA,40,5/5/14
VALMARK INTERFACE SOLUTIONS,LIVERMORE,46,3/31/14
VERIZON WIRELESS-FOLSOM,FOLSOM,346,7/5/14
VERIZON WIRELESS-IRVINE,IRVINE,1092,5/8/14
"VOSE TECHNICAL SYSTEMS, INC.",FORT IRWIN,59,3/31/14
"WALLENIUS WILHELMSEN LOGISTICS
AMERICUS, LLC",WILMINGTON,158,4/19/14
WEBSENSE,SAN DIEGO,194,5/5/14
WELLS FARGO,SAN BERNARDINO,9,1/12/14
WEST COVINA TOYOTA SCION,WEST COVINA,100,6/8/14
ZYNGA INC.,SAN FRANCISCO,194,1/30/14
ZYNGA INC.,SAN FRANCISCO,194,1/30/14
ZYNGA INC.,SANTA CLARA,1,1/30/14
ZYNGA INC.,SANTA CLARA,1,1/30/14
ZYNGA INC.,SANTA CLARA,5,1/30/14
